molecule_chembl_id,canonical_smiles,standard_value,pchembl_value,bioactivity_class
CHEMBL1683996,Cl.N[C@@H](CC(=O)N1CCn2nnc(-c3ccco3)c2C1)Cc1cc(F)c(F)cc1F,15.8,7.8,Aktif
CHEMBL1683995,N[C@@H](CC(=O)N1CCn2nnc(-c3ccccn3)c2C1)Cc1cc(F)c(F)cc1F.O=C(O)/C=C/C(=O)O,33.25,7.48,Aktif
CHEMBL1683994,Cl.N[C@@H](CC(=O)N1CCn2nnc(-c3ccncc3)c2C1)Cc1cc(F)c(F)cc1F,28.6,7.54,Aktif
CHEMBL1683993,CS(=O)(=O)c1ccc(-c2nnn3c2CN(C(=O)C[C@H](N)Cc2cc(F)c(F)cc2F)CC3)cc1.Cl,33.17,7.48,Aktif
CHEMBL1683992,Cl.N[C@@H](CC(=O)N1CCn2nnc(-c3ccc(C(=O)O)cc3)c2C1)Cc1cc(F)c(F)cc1F,33.78,7.47,Aktif
CHEMBL1683991,COC(=O)c1ccc(-c2nnn3c2CN(C(=O)C[C@H](N)Cc2cc(F)c(F)cc2F)CC3)cc1.O=P(O)(O)O,12.4,7.91,Aktif
CHEMBL1683990,CN(C)C(=O)c1ccc(-c2nnn3c2CN(C(=O)C[C@H](N)Cc2cc(F)c(F)cc2F)CC3)cc1.Cl,26.64,7.57,Aktif
CHEMBL1683989,Cl.NC(=O)c1ccc(-c2nnn3c2CN(C(=O)C[C@H](N)Cc2cc(F)c(F)cc2F)CC3)cc1,36.43,7.44,Aktif
CHEMBL1683988,COC(=O)c1cccc(-c2nnn3c2CN(C(=O)C[C@H](N)Cc2cc(F)c(F)cc2F)CC3)c1.Cl,46.61,7.33,Aktif
CHEMBL1683987,Cl.N#Cc1ccc(-c2nnn3c2CN(C(=O)C[C@H](N)Cc2cc(F)c(F)cc2F)CC3)cc1,30.03,7.52,Aktif
CHEMBL1683986,Cl.N[C@@H](CC(=O)N1CCn2nnc(-c3ccc(C(F)(F)F)cc3)c2C1)Cc1cc(F)c(F)cc1F,75.35,7.12,Ara Bileşik
CHEMBL1683985,Cl.N[C@@H](CC(=O)N1CCn2nnc(-c3ccc(Cl)cc3)c2C1)Cc1cc(F)c(F)cc1F,46.89,7.33,Aktif
CHEMBL1683984,N[C@@H](CC(=O)N1CCn2nnc(-c3ccc(F)cc3)c2C1)Cc1cc(F)c(F)cc1F.O=P(O)(O)O,45.2,7.34,Aktif
CHEMBL1683983,N[C@@H](CC(=O)N1CCn2nnc(-c3ccccc3)c2C1)Cc1cc(F)c(F)cc1F.O=P(O)(O)O,37.54,7.43,Aktif
CHEMBL1683982,CN(C)C(=O)c1nnn2c1CN(C(=O)C[C@H](N)Cc1cc(F)c(F)cc1F)CC2.Cl,52.34,7.28,Ara Bileşik
CHEMBL1683981,Cl.NC(=O)c1nnn2c1CN(C(=O)C[C@H](N)Cc1cc(F)c(F)cc1F)CC2,29.92,7.52,Aktif
CHEMBL1683980,COC(=O)c1nnn2c1CN(C(=O)C[C@H](N)Cc1cc(F)c(F)cc1F)CC2.Cl,15.09,7.82,Aktif
CHEMBL1683979,N[C@@H](CC(=O)N1CCn2nnc(C(F)(F)F)c2C1)Cc1cc(F)c(F)cc1F.O=C(O)/C=C/C(=O)O,50.66,7.29,Ara Bileşik
CHEMBL1683978,Cl.N[C@@H](CC(=O)N1CCn2nnc(C(F)F)c2C1)Cc1cc(F)c(F)cc1F,22.53,7.65,Aktif
CHEMBL1681811,Cc1nnn2c1CN(C(=O)C[C@H](N)Cc1cc(F)c(F)cc1F)CC2.Cl,77.06,7.11,Ara Bileşik
CHEMBL1683977,N[C@@H](CC(=O)N1CCn2nncc2C1)Cc1cc(F)c(F)cc1F.O=C(O)/C=C/C(=O)O,89.5,7.05,Ara Bileşik
CHEMBL1688415,Cc1nc(C(=O)NC2CC2)cc(-c2ccc(F)cc2)c1CN,80.0,7.1,Ara Bileşik
CHEMBL1688416,Cc1nc(C(=O)N2CCCC2)cc(-c2ccc(F)cc2)c1CN,686.0,6.16,Aktif Değil
CHEMBL1688418,CCOC(=O)C1CCN(C(=O)c2cc(-c3ccc(F)cc3)c(CN)c(C)n2)CC1,937.0,6.03,Aktif Değil
CHEMBL1688419,Cc1nc(C(=O)NC2CC2)cc(-c2ccc(F)cc2F)c1CN,674.0,6.17,Aktif Değil
CHEMBL1688423,Cc1cc(NC(=O)c2cc(-c3ccc(F)cc3F)c(CN)c(C)n2)no1,674.0,6.17,Aktif Değil
CHEMBL1688425,Cc1nc(C(N)=O)cc(-c2ccc(Cl)cc2Cl)c1CN,16.0,7.8,Aktif
CHEMBL1688426,CNC(=O)c1cc(-c2ccc(Cl)cc2Cl)c(CN)c(C)n1,11.0,7.96,Aktif
CHEMBL1688428,Cc1nc(C(=O)N2CCCC2)cc(-c2ccc(Cl)cc2Cl)c1CN,44.0,7.36,Aktif
CHEMBL1688431,Cc1nc(C(=O)NCC#N)cc(-c2ccc(Cl)cc2Cl)c1CN,10.0,8.0,Aktif
CHEMBL214381,CC[C@H](C)[C@H](N)C(=O)N1CCC[C@H]1C(=O)N[C@H](C(=O)O)[C@@H](C)CC,3000.0,5.52,Aktif Değil
CHEMBL1761683,CC(=O)O[C@H]1CC[C@@]2(C)C(=CC[C@H]3[C@@H]4CC=C(C(C)=O)[C@@]4(C)CC[C@@H]32)C1,35600.0,4.45,Aktif Değil
CHEMBL1761684,CC(=O)[C@H]1C(NCc2ccccc2)C[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C,21300.0,4.67,Aktif Değil
CHEMBL1761685,COc1ccc(/C=C/C(=O)C2=CC[C@H]3[C@@H]4CC=C5C[C@@H](O)CC[C@]5(C)[C@H]4CC[C@]23C)cc1OC,26200.0,4.58,Aktif Değil
CHEMBL1761686,CCCN1C(c2ccc(OC)cc2)CC(=O)[C@H]2C1C[C@H]1[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]12C,32700.0,4.49,Aktif Değil
CHEMBL1761687,CCCN1C(c2ccc(C(C)C)cc2)CC(=O)[C@H]2C1C[C@H]1[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]12C,29100.0,4.54,Aktif Değil
CHEMBL1765236,C[C@H](NC(=O)CCC(=O)O)C(=O)N[C@@H](C)C(=O)N1CCC[C@H]1C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](C)C(=O)N1CCC[C@H]1B(O)O,0.7,9.15,Aktif
CHEMBL1765235,C[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@@H](N)Cc1ccccc1)C(=O)N1CCC[C@H]1B(O)O,7.0,8.15,Aktif
CHEMBL1765234,CC(C)[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@@H](N)C1CCCCC1)C(=O)N1CCC[C@H]1B(O)O,19.0,7.72,Aktif
CHEMBL1771583,O=C1c2c(Cl)c(Cl)c(Cl)c(Cl)c2C(=O)N1c1cccc(CCc2cccc(C(F)(F)F)c2)c1,3100.0,5.51,Aktif Değil
CHEMBL1771584,O=C1c2c(Cl)c(Cl)c(Cl)c(Cl)c2C(=O)N1c1cccc(CCc2ccccc2C(F)(F)F)c1,4000.0,5.4,Aktif Değil
CHEMBL1779688,CN1CCN(C(=O)C[C@H](N)Cc2cc(F)c(F)cc2F)CC1=O,92.6,7.03,Ara Bileşik
CHEMBL1779689,N[C@@H](CC(=O)N1CCN(c2ccccn2)C(=O)C1)Cc1cc(F)c(F)cc1F,311.0,6.51,Ara Bileşik
CHEMBL1779690,N[C@@H](CC(=O)N1CCN(Cc2ccc(-c3ccccc3)cc2)C(=O)C1)Cc1cc(F)c(F)cc1F,44.8,7.35,Aktif
CHEMBL1779691,N[C@@H](CC(=O)N1CCN(Cn2nnc3ccccc32)C(=O)C1)Cc1cc(F)c(F)cc1F,42.7,7.37,Aktif
CHEMBL1779692,N[C@@H](CC(=O)N1CCN(CCN2CCOCC2)C(=O)C1)Cc1cc(F)c(F)cc1F,116.0,6.94,Ara Bileşik
CHEMBL1779693,N[C@@H](CC(=O)N1CCN(Cc2ccccc2)C(=O)C1)Cc1cc(F)c(F)cc1F,54.1,7.27,Ara Bileşik
CHEMBL1779694,N[C@@H](CC(=O)N1CCN(Cc2ccc([N+](=O)[O-])cc2)C(=O)C1)Cc1cc(F)c(F)cc1F,38.5,7.42,Aktif
CHEMBL1779695,N[C@@H](CC(=O)N1CCN(Cc2ccccc2[N+](=O)[O-])C(=O)C1)Cc1cc(F)c(F)cc1F,13.7,7.86,Aktif
CHEMBL1779696,N#Cc1ccccc1CN1CCN(C(=O)C[C@H](N)Cc2cc(F)c(F)cc2F)CC1=O,48.9,7.31,Aktif
